client_id,nom_complet,type_compte,solde,plafond,decouvert_autorise,montant_verse_mensuel,montant_preleve_mensuel,nombre_transactions,date_ouverture,statut_client,note_rentabilite,segment,score_risque
C0000,David Schmidt,Crédit,-2496714.15,7587945.48,Non,6006651.92,1290348.19,82,2024-05-15,Actif,74,Inactif,0.3
C0001,Diana Cummings,Courant,169796.23,956363.36,Oui,5271326.49,3483962.9,48,2018-11-05,Actif,41,VIP,0.38
C0002,Lauren Mann,Épargne,8403017.8,15204613.08,Non,4532467.56,155456.44,88,2016-02-01,Risqué,8,VIP,0.19
C0003,Karen Hunter,Courant,521317.31,1749792.37,Oui,1774978.3,3158931.83,49,2017-10-11,Actif,1,Standard,0.48
C0004,Jonathan Romero,Crédit,-178334.25,9339929.79,Non,7286356.36,2645999.11,77,2020-02-06,Actif,61,Standard,0.09
C0005,Rachel Mcintyre,Courant,154230.01,921401.76,Non,5449826.03,1170347.59,14,2023-10-04,Actif,88,Inactif,0.13
C0006,Patrick Ortega,Crédit,-3030999.52,7941433.12,Non,786744.28,2899802.54,40,2016-04-26,Risqué,72,Standard,0.43
C0007,Victor Smith,Courant,307540.03,1594409.27,Non,6393696.84,7103341.3,64,2022-01-04,Actif,46,Standard,0.2
C0008,Thomas Perkins,Courant,2343694.12,538128.69,Oui,1123519.7,299862.03,51,2019-09-11,Actif,3,Inactif,0.26
C0009,Michelle Morales,Courant,178075.74,615469.86,Oui,2933026.96,1331709.23,65,2022-08-14,Actif,61,Standard,0.27
C0010,Ronald Burke,Crédit,-3371862.13,9064821.7,Non,3214134.58,924912.8,26,2020-06-20,Actif,76,Inactif,0.66
C0011,Jacob Valdez,Courant,1214621.53,679798.05,Non,3409270.96,7546132.15,31,2017-08-24,Actif,51,Standard,0.46
C0012,Anthony Miranda,Crédit,-2102347.68,5524111.21,Non,562213.57,2265239.39,96,2021-12-23,Actif,1,Standard,0.1
C0013,Nicholas Jackson,Crédit,-3231778.38,4326890.1,Non,2459491.39,6434961.06,68,2017-02-04,Actif,69,Standard,0.29
C0014,Ebony Andrade,Crédit,-2789672.8,3933630.15,Non,2241398.42,5703638.78,18,2023-09-15,Actif,70,VIP,0.27
C0015,Douglas Curtis,Crédit,-1839062.62,4069597.16,Non,1179061.54,7401314.27,93,2022-12-13,Actif,6,Standard,0.2
C0016,David Jennings,Épargne,5779648.38,10085446.87,Non,3524635.27,5821347.65,2,2022-03-29,Inactif,53,Standard,0.36
C0017,Eric Thomas,Courant,1816881.72,652207.31,Oui,6651842.6,90239.59,81,2020-08-25,Actif,34,Standard,0.49
C0018,Tyler Vargas,Épargne,7309932.08,17738351.16,Non,6593248.28,4568053.4,75,2016-09-05,Actif,85,Standard,0.46
C0019,Kimberly Cox,Courant,1209382.37,1446707.94,Non,7958372.47,4045964.89,27,2022-01-03,Actif,96,VIP,0.09
C0020,Johnny Lee,Courant,651041.13,1949982.23,Non,9638018.77,6831425.17,62,2017-05-17,Actif,31,Inactif,0.35
C0021,Elizabeth Mcclure,Épargne,1262783.66,15440446.95,Non,5722108.64,822553.13,31,2019-09-19,Actif,22,VIP,0.42
C0022,Amy Johnson,Épargne,2122975.71,9403877.66,Non,8103143.5,6490401.49,24,2018-03-01,Actif,59,Standard,0.41
C0023,Cody Mccall,Courant,2162678.77,1693689.0,Oui,8905553.15,2737061.5,91,2022-01-05,Actif,31,Standard,0.31
C0024,Kelly Carey,Épargne,3756404.58,5560222.83,Non,8234875.58,2913515.6,59,2016-03-31,Actif,7,Standard,0.35
C0025,Christina Hall,Courant,1059750.31,1297031.95,Oui,5429319.46,5117567.72,51,2019-05-20,Actif,29,VIP,0.24
C0026,Megan Garcia,Courant,2937549.29,587290.39,Oui,9156376.59,3566700.23,95,2021-08-20,Actif,47,VIP,0.15
C0027,Patrick Thompson,Épargne,11734419.82,11535093.48,Non,7313891.2,429343.22,25,2019-07-19,Actif,100,VIP,0.18
C0028,Lisa Snyder,Crédit,-1450747.09,5182064.32,Non,6515248.14,432068.45,68,2019-04-18,Inactif,51,Standard,0.32
C0029,Becky Morales,Épargne,5030699.18,7444016.41,Non,752159.04,5157233.26,91,2020-10-04,Actif,90,Inactif,0.22
C0030,Diana Conner,Courant,1335547.22,1730640.27,Non,6532273.48,1693140.66,28,2024-12-03,Actif,94,Standard,0.64
C0031,Jennifer Reyes,Crédit,-3116893.44,4468569.59,Non,6832056.01,2757965.33,6,2022-09-26,Actif,74,Inactif,0.32
C0032,Alicia Newton,Courant,1696752.33,1985757.71,Non,4155545.89,3007543.78,95,2022-06-24,Actif,61,Standard,0.25
C0033,Michael Wilson,Épargne,7573593.98,10665933.29,Non,5366558.36,3997661.47,88,2017-01-28,Actif,58,VIP,0.14
C0034,Helen Turner,Courant,810775.39,624926.62,Non,962456.27,4839405.36,51,2017-10-28,Actif,99,Inactif,0.32
C0035,Ariel Cooper,Crédit,-2082730.44,4834823.28,Non,2264635.35,3203380.24,26,2017-11-07,Inactif,4,Standard,0.52
C0036,Brian Christian,Crédit,-2289882.81,6326998.65,Non,3534671.55,5680040.5,18,2016-07-09,Inactif,53,Standard,0.31
C0037,Jeremy Thompson,Épargne,627335.92,11078031.3,Non,5736156.6,5940742.19,71,2016-01-18,Actif,38,Standard,0.33
C0038,Heidi Ramirez,Crédit,-1656798.76,9669002.85,Non,170937.02,7760536.67,60,2023-09-06,Actif,79,Standard,0.32
C0039,Brandon Ramsey,Courant,127611.74,1284646.77,Non,6312516.45,5581202.08,30,2025-04-14,Risqué,53,Standard,0.18
C0040,John Mckenzie,Courant,610731.25,1030028.34,Non,5857378.31,667990.36,40,2015-11-01,Actif,26,Standard,0.06
C0041,Ricky Mccarty,Épargne,3269289.03,7439254.09,Non,9113725.49,6589171.08,81,2022-05-19,Actif,68,Standard,0.38
C0042,Christopher Jones,Courant,711666.66,1715830.0,Non,9873397.49,1245814.28,84,2019-01-04,Inactif,88,Inactif,0.23
